id,theme
"Jamais, ayez-vous dit, tandis qu’autour de nous|Résonnait de Schubert la plaintive musique;|Jamais, avez-vous dit, tandis que, malgré vous,|Brillait de vos grands yeux l’azur mélancolique.|Jamais, répétiez-vous, pâle et d’un air si doux,|Qu’on eût cru voir sourire une médaille antique.|Mais des trésors secrets l’instinct fier et pudique|Vous couvrit de rougeur, comme un voile jaloux.|Quel mot vous prononcez, marquise, et quel dommage!|Hélas! je ne voyais ni ce charmant visage,|Ni ce divin sourire, en vous parlant d’aimer.|Vos yeux bleus sont moins doux que votre âme n’est belle.|Même en les regardant, je ne regrettais qu’elle,|Et de voir dans sa fleur un tel cœur se fermer.",Amour
"Non, quand bien même une amère souffrance|Dans ce cœur mort pourrait se ranimer;|Non, quand bien même une fleur d’espérance|Sur mon chemin pourrait encor germer;|Quand la pudeur, la grâce et l’innocence|Viendraient en toi me plaindre et me charmer;|Non, chère enfant, si belle d’ignorance,|Je ne saurais, je n’oserais t’aimer.|Un jour pourtant il faudra qu’il te vienne,|L’instant suprême ou l’univers n’est rien.|De mon respect alors qu’il te souvienne!|Tu trouveras, dans la joie ou la peine,|Ma triste main pour soutenir la tienne,|Mon triste cœur pour écouter le tien.",Amour
"Il faut, dans ce bas monde, aimer beaucoup de choses,|Pour savoir, après tout, ce qu’on aime le mieux:|Les bonbons, l’Océan, le jeu, l’azur des cieux,|Les femmes, les chevaux, les lauriers et les roses.|Il faut fouler aux pieds des fleurs à peine écloses;|Il faut beaucoup pleurer, dire beaucoup d’adieux.|Puis le cœur s’aperçoit qu’il est devenu vieux,|Et l’effet qui s’en va nous découvre les causes.|De ces biens passagers que l’on goûte à demi,|Le meilleur qui nous reste est un ancien ami.|On se brouille, on se fuit. — Qu’un hasard nous rassemble,|On s’approche, on sourit, la main touche la main,|Et nous nous souvenons que nous marchions ensemble,|Que l’âme est immortelle, et qu’hier c’est demain.",Amour
"Se voir le plus possible et s’aimer seulement,|Sans ruse et sans détours, sans honte ni mensonge,|Sans qu’un désir nous trompe, ou qu’un remords nous ronge,|Vivre à deux et donner son cœur à tout moment;|Respecter sa pensée aussi loin qu’on y plonge,|Faire de son amour un jour au lieu d’un songe,|Et dans cette clarté respirer librement, —|Ainsi respirait Laure et chantait son amant.|Vous dont chaque pas touche à la grâce suprême,|C’est vous, la tête en fleurs, qu’on croirait sans souci,|C’est vous qui me disiez qu’il faut aimer ainsi.|Et c’est moi, vieil enfant du doute et du blasphème,|Qui vous écoute, et pense, et vous réponds ceci:|Oui, l’on vit autrement, mais c’est ainsi qu’on aime.",Amour
"Ils me disent, tes yeux, clairs comme le cristal :|« Pour toi, bizarre amant, quel est donc mon mérite? »|Sois charmante et tais-toi! Mon cœur, que tout irrite,|Excepté la candeur de l'antique animal,|Ne veut pas te montrer son secret infernal,|Berceuse dont la main aux longs sommeils m'invite,|Ni sa noire légende avec la flamme écrite.|Je hais la passion et l'esprit me fait mal!|Aimons-nous doucement. L'Amour dans sa guérite,|Ténébreux, embusqué, bande son arc fatal.|Je connais les engins de son vieil arsenal:|Crime, horreur et folie!--O pâle marguerite!|Comme moi n'es-tu pas un soleil automnal,|O ma si blanche, ô ma si froide Marguerite ?",Amour
"Tu me fis d’imprévus et fantasques aveux|Un soir que tu t’étais royalement parée|Haut coiffée, et ruban ponceau dans tes cheveux|Qui couronnaient ton front de leur flamme dorée.|Tu m’avais dit «Je suis à toi si tu me veux»;|Et, frémissante, à mes baisers tu t’es livrée.|Sur ta gorge glacée et sur tes flancs nerveux|Les frissons de Vénus perlaient ta peau nacrée.|L’odeur de tes cheveux, la blancheur de tes dents,|Tes souples soubresauts et tes soupirs grondants,|Tes baisers inquiets de lionne joueuse|M’ont, à la fois, donné la peur et le désir|De voir finir, après l’éblouissant plaisir,|Par l’éternelle mort, la nuit tumultueuse.",Amour
"Alors que finissait la journée estivale,|Nous marchions, toi pendue à mon bras, moi rêvant|À ces mondes lointains dont je parle souvent.|Aussi regardais-tu chaque étoile en rivale.|Au retour, à l’endroit où la côte dévale,|Tes genoux ont fléchi sous le charme énervant|De la soirée et des senteurs qu’avait le vent.|Vénus, dans l’ouest doré, se baignait triomphale.|Puis, las d’amour, levant les yeux languissamment,|Nous avons eu tous deux un long tressaillement|Sous la sérénité du rayon planétaire.|Sans doute, à cet instant deux amants, dans Vénus,|Arrêtés en des bois aux parfums inconnus,|Ont, entre deux baisers, regardé notre terre.",Amour
"Dans le parc, les oiseaux se querellent entre eux.|Après la promenade en de sombres allées,|On rentre; on mange ensemble, et tant de voix mêlées|N’empêchent pas les doux regards, furtifs, heureux.|Et la chambre drapée en tulle vaporeux|Rose de la lueur des veilleuses voilées,|Où ne sonnent jamais les heures désolées!...|Parfums persuadeurs qui montent du lit creux!...|Elle vient, et se livre à mes bras, toute fraîche|D’avoir senti passer l’air solennel du soir|Sur son corps opulent, sous les plis du peignoir.|À bas peignoir! Le lit embaume. Ô fleur de pêche|Des épaules, des seins frissonnants et peureux!...|Dans le parc les oiseaux se font l’amour entre eux.",Amour
"Mon cœur était jadis comme un palais romain,|Tout construit de granits choisis, de marbres rares.|Bientôt les passions, comme un flot de barbares,|L’envahirent, la hache ou la torche à la main.|Ce fut une ruine alors. Nul bruit humain.|Vipères et hiboux. Terrains de fleurs avares.|Partout gisaient, brisés, porphyres et carrares;|Et les ronces avaient effacé le chemin.|Je suis resté longtemps, seul, devant mon désastre.|Des midis sans soleil, des minuits sans un astre,|Passèrent, et j’ai, là, vécu d’horribles jours;|Mais tu parus enfin, blanche, dans la lumière,|Et, bravement, afin de loger nos amours,|Des débris du palais j’ai bâti ma chaumière.",Amour
"Viens! Je t’aime! Rentrons. La promenade est faite.|La claire nuit de Juin vient d’allumer ses feux;|Le clocher du gros bourg, où nous logeons tous deux,|Se rapproche, et la lune en argente le faîte.|Regagnons lentement l’auberge, où l’on apprête|La chambre et le grand lit aux draps frais. Je te veux!|Et, pour qu’en cheminant je baise tes cheveux,|Sur mon épaule heureuse abandonne ta tête.|Mets un de tes chers bras au cou de ton ami;|Traversons, enlacés, le village endormi;|Et, comme nous voulons, dans la campagne verte,|Dès l’aurore, demain, reprendre notre vol,|Nous laisserons, ce soir, la fenêtre entr’ouverte;|Pour être réveillés au chant du rossignol!",Amour
"Mais je l’ai vu si peu! disiez-vous l’autre jour. —|Et moi, vous ai-je vue en effet davantage?|En un moment mon cœur s’est donné sans partage.|Ne pouvez-vous ainsi m’aimer à votre tour?|Pour monter d’un coup d’aile au sommet de la tour,|Pour emplir de clartés l’horizon noir d’orage|Et pour nous enchanter de son puissant mirage,|Quel temps faut-il à l’aigle, à l’éclair, à l’amour?|Je vous ai vue à peine, et vous m’êtes ravie!|Mais à vous mériter je consacre ma vie|Et du sombre avenir j’accepte le défi.|Pour s’aimer faut-il donc tellement se connaître,|Puisque, pour allumer le feu qui me pénètre,|Chère âme, un seul regard de vos yeux a suffi?",Amour
"O poète, trop prompt à te laisser charmer,|Si cette douce enfant devait t’être ravie,|Et si ce cœur, en qui tout le tien se confie,|Ne pouvait pas pour toi frémir et s’animer|N’importe! ses yeux seuls ont su faire germer|Dans mon âme, si lasse et de tout assouvie,|L’amour qui rajeunit, console et purifie,|Et je devrais encor la bénir et l’aimer.|Heureux ou malheureux, je lui serai fidèle;|J’aimerai ma douleur, puisqu’elle viendra d’elle|Qui chassa de mon sein la honte et le remord.|Vierge, dont les regards me tiennent sous leurs charmes,|Si tu me fais pleurer, je bénirai mes larmes;|Si tu me fais mourir, je bénirai la mort!",Amour
"La Treizième revient… C’est encor la première;|Et c’est toujours la seule, — ou c’est le seul moment:|Car es-tu reine, ô toi! la première ou dernière?|Es-tu roi, toi le seul ou le dernier amant?…|Aimez qui vous aima du berceau dans la bière;|Celle que j’aimai seul m’aime encor tendrement:|C’est la mort — ou la morte… Ô délice! ô tourment!|La rose qu’elle tient, c’est la Rose trémière.|Sainte napolitaine aux mains pleines de feux,|Rose au cœur violet, fleur de sainte Gudule:|As-tu trouvé ta croix dans le désert des cieux?|Roses blanches, tombez! vous insultez nos dieux,|Tombez, fantômes blancs, de votre ciel qui brûle:|— La sainte de l’abîme est plus sainte à mes yeux!",Amour
"Du temps que je vivais à mes frères pareil|Et comme eux ignorant d’un sort meilleur ou pire,|Les monts Thessaliens étaient mon vague empire|Et leurs torrents glacés lavaient mon poil vermeil.|Tel j’ai grandi, beau, libre, heureux, sous le soleil;|Seule, éparse dans l’air que ma narine aspire,|La chaleureuse odeur des cavales d’Épire|Inquiétait parfois ma course ou mon sommeil.|Mais depuis que j’ai vu l’Épouse triomphale|Sourire entre les bras de l’Archer de Stymphale,|Le désir me harcèle et hérisse mes crins;|Car un Dieu, maudit soit le nom dont il se nomme!|A mêlé dans le sang enfiévré de mes reins|Au rut de l’étalon l’amour qui dompte l’homme.",Amour
"Les bois, lavés par les rosées,|Pleurent sur la mousse et le thym,|Et bercent au vent incertain|Leurs feuilles longtemps reposées.|Les fleurs que rougit le matin,|Comme des urnes épuisées,|Ouvre leurs corolles rosées|Où l’abeille fait son butin.|Mais qu’importent l’aube divine,|La fleur qu’un rayon illumine|Les bois, l’abeille et le ciel bleu!|L’amour me consume et m’inonde,|Et je presse, oublieux du monde,|Tes pieds nus sous ma lèvre en feu!",Amour
"Princesse! à jalouser le destin d’une Hébé|Qui poind sur cette tasse au baiser de vos lèvres,|J’use mes feux mais n’ai rang discret que d’abbé|Et ne figurerai même nu sur le Sèvres.|Comme je ne suis pas ton bichon embarbé,|Ni la pastille ni du rouge, ni Jeux mièvres|Et que sur moi je sais ton regard clos tombé,|Blonde dont les coiffeurs divins sont des orfèvres!|Nommez-nous.. toi de qui tant de ris framboisés|Se joignent en troupeau d’agneaux apprivoisés|Chez tous broutant les vœux et bêlant aux délires,|Nommez-nous.. pour qu’Amour ailé d’un éventail|M’y peigne flûte aux doigts endormant ce bercail,|Princesse, nommez nous berger de vos sourires.",Amour
"Souvenir, souvenir, que me veux-tu? L’automne|Faisait voler la grive à travers l’air atone,|Et le soleil dardait un rayon monotone|Sur le bois jaunissant où la bise détone.|Nous étions seul à seule et marchions en rêvant,|Elle et moi, les cheveux et la pensée au vent.|Soudain, tournant vers moi son regard émouvant:|«Quel fut ton plus beau jour!» fit sa voix d’or vivant,|Sa voix douce et sonore, au frais timbre angélique.|Un sourire discret lui donna la réplique,|Et je baisai sa main blanche, dévotement.|— Ah! les premières fleurs qu’elles sont parfumées!|Et qu’il bruit avec un murmure charmant|Le premier oui qui sort de lèvres bien-aimées!",Amour
"De la douceur, de la douceur, de la douceur!|Calme un peu ces transports fébriles, ma charmante.|Même au fort du déduit, parfois, vois-tu, l’amante|Doit avoir l’abandon paisible de la sœur.|Sois langoureuse, fais ta caresse endormante,|Bien égaux tes soupirs et ton regard berceur.|Va, l’étreinte jalouse et le spasme obsesseur|Ne valent pas un long baiser, même qui mente!|Mais dans ton cher cœur d’or, me dis-tu, mon enfant,|La fauve passion va sonnant l’oliphant|Laisse-la trompetter à son aise, la gueuse!|Mets ton front sur mon front et ta main dans ma main,|Et fais-moi des serments que tu rompras demain,|Et pleurons jusqu’au jour, ô petite fougueuse!",Amour
"Je fais souvent ce rêve étrange et pénétrant|D’une femme inconnue, et que j’aime, et qui m’aime,|Et qui n’est, chaque fois, ni tout à fait la même|Ni tout à fait une autre, et m’aime et me comprend.|Car elle me comprend, et mon cœur, transparent|Pour elle seule, hélas! cesse d’être un problème|Pour elle seule, et les moiteurs de mon front blême,|Elle seule les sait rafraîchir, en pleurant.|Est-elle brune, blonde ou rousse? — Je l’ignore.|Son nom? Je me souviens qu’il est doux et sonore,|Comme ceux des aimés que la Vie exila.|Son regard est pareil au regard des statues,|Et, pour sa voix, lointaine, et calme, et grave, elle a|L’inflexion des voix chères qui se sont tues.",Amour
"L’une avait quinze ans, l’autre en avait seize;|Toutes deux dormaient dans la même chambre|C’était par un soir très lourd de septembre:|Frêles, des yeux bleus, des rougeurs de fraise,|Chacune a quitté, pour se mettre à l’aise,|La fine chemise au frais parfum d’ambre.|La plus jeune étend les bras et se cambre,|Et sa sœur, les mains sur ses seins, la baise.|Puis tombe à genoux, puis devient farouche|Et tumultueuse et folle et sa bouche|Plonge sous l’or blond, dans les ombres grises;|Et l’enfant, pendant ce temps-là, recense|Sur ses doigts mignons des valses promises,|Et, rose, sourit avec innocence.",Amour
"Les longs rideaux de blanche mousseline|Que la lueur pâle de la veilleuse|Fait fluer comme une vague opaline|Dans l’ombre mollement mystérieuse,|Les grands rideaux du grand lit d’Adeline|Ont entendu, Claire, ta voix rieuse,|Ta douce voix argentine et câline|Qu’une autre voix enlace, furieuse.|«Aimons, aimons!» disaient vos voix mêlées,|Claire, Adeline, adorables victimes|Du noble vœu de vos âmes sublimes.|Aimez, aimez! ô chères Esseulées,|Puisqu’en ces jours de malheur, vous encore,|Le glorieux Stigmate vous décore.",Amour
"Et l’enfant répondit, pâmée|Sous la fourmillante caresse|De sa pantelante maîtresse:|«Je me meurs, ô ma bien-aimée!|«Je me meurs: ta gorge enflammée|Et lourde me soûle, m’oppresse;|Ta forte chair d’où sort l’ivresse|Est étrangement parfumée:|«Elle a, ta chair, le charme sombre|Des maturités estivales, —|Elle en a l’ambre, elle en a l’ombre;|«Ta voix tonne dans les rafales,|Et ta chevelure sanglante|Fuit brusquement dans la nuit lente.»",Amour
